index,T_fem,2,4,6,8,10
73,289.99322094635886,0.0224565076411522,0.0081254059588786,4.80843588661628e-05,7.610358863985311e-06,3.688588776640245e-07
17,290.42684668001027,0.0312221253897178,0.0022635988897263,4.502681025542188e-05,8.78101025136857e-06,6.791026407881874e-08
43,291.37048795184467,0.0709233931553399,0.0191393500446679,6.815314463892719e-05,5.072744670542306e-06,3.582446765904024e-07
84,291.4311936830999,0.0286360539998895,0.0018993925998529,4.141780010513685e-05,1.0145799876681847e-05,3.19899868372886e-07
72,291.8987782070044,0.0395370997956092,0.0097788774044147,7.614520438892214e-05,5.792104389001906e-06,3.348043833284464e-07
51,293.1520541944782,0.0045884540782026,0.0154242156781947,1.652342183433575e-05,2.55877819199668e-06,6.505781584564829e-07
45,293.79501697534727,0.0483217189472497,0.0164283404472485,5.598675272722176e-05,7.5978472864335345e-06,7.967472583914059e-07
20,293.84440387351407,0.0093393040859268,0.0224283851140398,3.35501859467513e-05,3.780914084927645e-06,6.221140438356088e-07
21,294.48306850506145,0.0702432967614754,0.0085372829614698,9.684113854291354e-05,1.2396261467984004e-05,2.5576144935257616e-07
86,294.54420531065955,0.0180974462404606,0.0131095500595392,1.4753040431969566e-05,2.1461404458023026e-06,4.3095957380501204e-07
34,295.23650520289533,0.0283562552046419,0.0208572535953521,2.2411704662772536e-05,1.5769953165545305e-06,5.327953545020137e-07
79,295.4560965076697,0.0242403010302609,0.0141669065696987,2.71750697038442e-05,3.246569690418255e-06,5.337697075447068e-07
6,295.62169429169603,0.0464934030039785,0.0095235941960254,8.35974960295971e-05,7.483196043267526e-06,1.580960429237166e-07
80,296.10570545668065,0.0629998087193257,0.0168339941806721,4.874078064176501e-05,2.1126806473148463e-06,3.0548062568414025e-07
35,296.1145649531102,0.0324961240101515,0.0171452802101725,6.043748982165198e-05,6.134101795396418e-07,4.666101744987827e-07
54,296.2785175923218,0.0562188711218141,0.0215267518217956,9.179857818253367e-05,4.176021832336119e-06,3.456217996244959e-07
60,296.4524042070801,0.0103365110801405,0.0134370459801402,1.1328012305966697e-07,6.133180136203009e-06,7.165801321207255e-07
18,296.49330425710434,0.0493885060043339,0.0159268243043584,6.733619568422e-05,1.763304339874594e-06,4.6210436721594316e-07
27,296.74489473093496,0.0723643383349781,0.0020817874349745,7.419236504802029e-05,5.463734964905598e-06,2.270349455102405e-07
15,297.0331243318988,0.046143493498846,0.0188578646988162,5.981010116329344e-05,5.079098798432824e-06,7.848988161640591e-07
67,297.0953484513306,0.0896733880306328,0.0169001483305919,9.075296941318813e-05,5.986130588553351e-06,4.4233058815734694e-07
96,297.5850150848549,0.0676351758548889,0.0071331355549091,6.665084509904773e-05,2.258254880871391e-06,1.590548777130607e-07
63,297.94558660244394,0.0569769097439234,0.0170900120439227,7.140765603708132e-05,3.328243963096611e-06,5.656439157064597e-07
1,298.0127631391019,0.0251560035018769,0.0086278108018973,5.2380398130935646e-05,1.9783981315413257e-06,8.45981276142993e-08
94,298.0622434813184,0.0330570343816134,0.0010344339183916,9.429141834971232e-05,2.804118366839248e-06,8.771837656240677e-08
33,298.15511195254214,0.0035267074421199,0.0149204665421507,4.874345785310652e-05,1.4412578366318485e-06,4.0754213159743813e-07
65,298.1873131119669,0.0029771445668984,0.0219580339668823,5.267583310342161e-05,1.6689668882463593e-06,3.9006687302389764e-07
22,298.1914410739134,0.0753301806133777,0.0135506817133546,8.426068660583041e-05,3.173113384491444e-06,3.3371338759025093e-07
87,298.25032229161604,0.0723959358160186,0.0129705981160554,7.787768396383399e-05,1.1573216056603997e-05,5.06816036249802e-07
50,298.5105887967972,0.020727368002781,0.0174167538971801,5.391769718698925e-05,7.625097225627542e-06,2.724972318901564e-07
69,298.5691774112919,0.006787272108113,0.020934681591882,4.652430811802333e-05,1.267191862552863e-06,1.683918640082993e-07
48,298.57151802121825,0.013602424018245,0.0073464343182649,1.3198818237469824e-05,1.0475518251951144e-05,4.0531824652134674e-07
62,298.57880868286395,0.0442338340639594,0.0207015847639695,7.654693604308704e-05,2.35146393379182e-06,3.74963974536513e-07
7,298.6252021248403,0.0880607879403214,0.0102099719402986,8.606385966913876e-05,5.1978403234898e-06,3.45940293300373e-07
98,298.6959667775293,0.0031570859292742,0.021628722029277,4.867277073117293e-05,1.9901293057955627e-06,1.921292778206407e-07
36,299.3277138810886,0.0840312636885869,0.0193987848886081,8.99366114026634e-05,3.1407885785483813e-06,2.480886109879066e-07
93,299.38722030072995,0.0759659882299388,0.0163502640299384,8.036277006340242e-05,9.372829936182823e-06,6.511299375233648e-07
92,299.4101477471353,0.0423769015353059,0.0130003028352803,4.028046470239133e-05,1.0848735257695807e-05,6.019352554176294e-07
91,299.4239080596906,0.0370179583905496,0.0120988321905883,3.312110942488289e-05,6.283290588271484e-06,7.026905564089247e-07
57,299.5580667103124,0.0412505982124002,0.0120181723124233,3.95055876083461e-05,1.7244124137505423e-06,3.623123916440818e-07
13,299.6063752775524,0.0657400987523715,0.0159079566523701,7.340224760810088e-05,1.38175238362237e-06,7.404759116980132e-08
99,299.636203208614,0.0047535422140185,0.0200934163140118,4.059248601606669e-05,1.6969140119726944e-06,6.488140229521377e-07
53,299.68887025872755,0.0397882415275603,0.0219059389275457,6.918797242860819e-05,3.659627566321433e-06,3.262275640736334e-07
68,299.8218520331724,0.0872326214723671,0.0154953526723602,6.948492762148817e-05,9.742723818817467e-07,8.347240054717987e-08
3,300.0129612248576,0.0758293947575907,0.0122531535575944,6.99012423979184e-05,1.1320557575800194e-05,5.279575816530269e-07
52,300.2109004625749,0.0415681794250986,0.0218908292749233,2.4175125076908444e-05,2.1248749249025423e-06,9.074881290871415e-09
88,300.2569782717887,0.0547249250113281,0.0163404636886639,2.0353511331450136e-05,8.866886673786212e-07,1.6431130234195734e-07
61,300.2868257204955,0.0421999546954907,0.0183980534954457,6.956660450896379e-05,1.308295452417951e-06,1.3749547633779002e-07
75,300.3295720403685,0.0492553598684821,0.0174048667684587,6.95095314995342e-05,2.112968502387957e-06,5.246684509074839e-07
14,300.413565033786,0.01912236918605,0.0087569948860277,9.833986041485332e-06,9.99528600686972e-06,4.981860115549352e-07
0,300.44506103469735,0.0319700592973504,0.0180272804973355,4.067910265348473e-05,4.948697323925444e-06,8.187973321582831e-07
16,300.66730767360195,0.0848460868019742,0.0139362956019795,6.444699806706922e-05,1.2619019571502577e-06,6.509804961751797e-08
71,300.93308050595715,0.046632715157159,0.0101306927571727,2.3912742847187477e-05,9.977457125387446e-06,6.504571388177283e-07
77,301.05874385822875,0.1006447585712635,0.0143786396287737,9.186071224576152e-06,4.240287694301514e-07,3.501712626530207e-07
39,301.3992257037288,0.1241226689288055,0.0196349677287912,0.000119652371211,2.603828818337206e-06,1.587711722095264e-07
30,301.4177494407885,0.0837620525884972,0.0184604850884966,8.639211148420145e-05,2.80718847989192e-06,3.5468849546305137e-07
55,301.72037910266954,0.069095356169555,0.0187035079695192,7.935513048096254e-05,3.1211695272759243e-06,4.968695179741189e-07
28,301.73054411639987,0.02940330999985,0.0218584973998758,4.645140012371485e-05,5.534299873488635e-06,4.357998477644287e-07
29,301.7745946350718,0.0679821912718239,0.0100956991718135,5.656832820477575e-05,1.1975971801803098e-05,4.953718075739744e-07
56,301.83654543087573,0.0885695531757164,0.0180922101757232,9.176982428016343e-05,6.196775757416617e-06,6.287757514655823e-07
40,301.8479431724611,0.0381963531610836,0.011430760861117,5.790593888832518e-05,6.217388772711274e-07,1.0066111144624301e-07
5,301.88271227758094,0.0484102536809132,0.0055315109809157,1.8619061847857665e-08,3.634480947312113e-06,4.306809273657564e-07
19,301.9089243697722,0.1063105298721893,0.0151770759721898,0.0001088060278107,8.039672195536696e-06,4.83572193843429e-07
83,302.0738288283193,0.111108153880707,0.0148424828192901,3.273719300977973e-06,3.0275807034740865e-06,2.946807171610999e-07
26,302.1618795839919,0.0106957165081098,0.0208527721919153,6.190391900418035e-06,4.74619190526937e-06,5.896918651160377e-07
78,302.19315835817895,0.0744053687210453,0.0072859896210388,4.109817894004664e-05,4.459378942556214e-06,6.064789204174303e-07
44,302.3068226470666,0.0636572389665843,0.0209759467666117,6.267583336239113e-05,5.070266638540488e-06,4.4606662186197365e-07
4,302.5892577949553,0.0696559542446948,0.0206510483553188,2.0489255291522568e-05,8.918552794057177e-07,7.305527560674818e-08
24,302.6313049232062,0.0508085126061814,0.0074316616061764,5.173309381234503e-05,4.970306179075124e-06,4.4380618646755465e-07
12,302.70298020353573,0.0512226927357346,0.0207872425357322,5.0836964248901495e-05,4.141135718782607e-06,2.691357394724037e-07
59,302.7179234882712,0.0648812031711827,0.0071159938711957,5.071372879683622e-05,1.0605571219457488e-05,5.190711931390979e-07
85,302.76082526049305,0.0315551386930224,0.0204503458930389,1.376950694975676e-05,7.391793076294562e-06,4.123930352761818e-07
49,302.9120486280211,0.0296341557211121,0.0129478946211065,5.46915788959268e-05,1.4457884844887306e-07,9.40211180022743e-08
2,302.9491811759148,0.0992797581147897,0.015961913114836,0.0001012498851764,2.4531482267775573e-07,1.368852053929004e-07
76,302.9911911691599,0.0597693761400819,0.0168123627598788,1.3630340106374206e-05,5.202401212045515e-07,2.97759868317371e-07
70,303.06445335820774,0.1081626237077557,0.0202328057077352,0.0001037749922829,4.321007736507454e-06,1.008077674669039e-07
42,303.20153319063013,0.0523688675301059,0.0080834840301236,1.1099569860562042e-05,3.158730123686837e-06,4.523301413428271e-07
32,303.21310765759966,0.0453026531996556,0.0150503573996729,4.543420033087386e-05,1.3809996630698151e-06,9.009966106532374e-08
37,303.27280291984255,0.0872973828425642,0.0065848818425706,3.446745745350199e-05,7.283425702553359e-07,7.442565674864454e-09
97,303.487938718878,0.0152592257219907,0.0197453895780199,5.806521983231505e-06,2.792777991089679e-06,1.232219801750034e-07
8,303.4988441098028,0.0587537167028244,0.0001464647971829,2.8093597222778044e-05,1.0085002827509015e-05,2.714028255468293e-07
89,303.5014234130828,0.0686712579828281,0.0038281907171722,4.237521716277115e-05,9.258582792881498e-06,1.117828105634544e-07
11,303.5044214127779,0.0011699902220811,0.0115569027778974,3.23029220794524e-05,1.0463779176461685e-06,1.4907789136486826e-07
81,303.63588990095275,0.0102370523527497,0.0149270019527421,4.7879547253160126e-05,4.2885272932835516e-07,4.497527470448404e-07
41,303.76231554763,0.1006852512300042,0.0167352168299999,7.821356996373652e-05,1.982430035241123e-06,7.273001756402665e-08
66,304.13490448969515,0.0332775636048268,0.0165326762951281,5.544079516539568e-05,3.836895132280915e-06,4.529951525000797e-07
23,304.282557352578,0.1240804074780044,0.0089322102780329,0.0001260853219946,9.981378013890208e-06,2.118779889315192e-07
90,304.4283317085193,0.1271543872807115,0.0007262161192898,7.966780685819685e-06,9.499806878920936e-07,1.451193156754016e-07
31,304.80293472369067,0.031889266809344,0.0021488149906758,4.988009322914877e-06,9.755906944519666e-07,1.4949068827263545e-07
38,304.8090767818463,0.0399803743537177,0.0146651265462764,2.854775374316887e-05,3.7245371231620084e-07,3.910462851308694e-07
9,304.83887029233205,0.0499003908320219,0.0011513801320575,4.440713206577129e-05,5.196332040213747e-06,6.89632031480869e-07
25,305.0062075452216,0.0993248102783468,0.0145133436216156,5.2070783453928016e-06,2.105278383623954e-06,9.81783614406595e-08
58,305.3919092503345,0.0383106018655325,0.0023734587344961,1.749333449652113e-05,5.3389344998322485e-06,9.53234518874524e-07
10,305.3963205802679,0.0115889022679311,0.0213032304679359,2.490443210945159e-05,4.329467913066765e-06,6.369679113049642e-07
46,305.5103460502873,0.0792539691872775,0.0170755853873174,7.363201268617559e-05,2.254087291930773e-06,3.423872954044782e-07
95,305.7265525827502,0.0335316903498323,0.0182246676501449,2.7121498078486184e-06,9.021501909955988e-07,4.900498424831312e-07
64,305.91386154120005,0.0259703785000624,0.016727442600029,4.168599997456113e-05,3.017500034729892e-06,5.308000368131616e-07
82,306.08178483811105,0.0176276453110517,0.0009144391110567,2.3582911069297552e-05,2.978911027184949e-06,4.6701103428858914e-07
47,306.5503177964766,0.0844895275234307,0.0002043407234282,2.30457765724168e-05,6.482976573352062e-06,1.120676586197078e-06
74,306.57046532302854,0.0409707801285321,0.0210747954285466,3.856887144593202e-05,4.145528521348751e-06,2.229285200883169e-07
